"Date and time","SMV340200 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340201 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340202 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340203 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340204 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340205 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340206 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340207 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340208 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340209 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340210 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340211 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340212 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340213 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340230 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340232 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340233 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340234 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340262 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","SMV340263 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","idrac-9DQGPV3 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","idrac-BDQGPV3 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","idrac-CDQGPV3 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","idrac-DDQGPV3 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)","idrac-FDQGPV3 - System Net Airflow (CFM, Avg. over last 15 min) (CFM)"
"2025-06-10T16:15:00-03:00","172.17033","172.083333","172","172.127072","202.340426","177.005679","172.377778","173.146739","172.489011","172.433956","172.478022","174.235294","172.116667","172.370787","176","217.472392","172.532967","172.351649","190.873016","173","172.738889","172.656899","172.133372","172.377097","173"
"2025-06-10T16:30:00-03:00","172.011111","172.232044","172.173184","172.033333","187.763158","180.895184","172.301676","173.868132","172.348067","172.486316","172.59116","174.244566","172.016574","172.554946","198","197.84472","172.583333","172.19337","182.116402","173","172.876404","172.628096","172.284716","172.24453","172.769231"
"2025-06-10T16:45:00-03:00","172.153847","172.19337","172.033149","172.327869","186.405263","180.991266","172.368132","173.681081","172.834254","172.456044","173.666667","174.04918","172","172.403314","187","178.975309","172.704918","172.401099","178.832432","173.245901","172.978022","172.563536","172.570447","172.545369","172.552487"
"2025-06-10T17:00:00-03:00","172.111732","172.138889","172.122222","172.372222","180.574468","180.998787","172.276243","173.63587","172.803279","172.317232","172.587912","173.810811","172.513812","172.73224","191","189.503068","172.75","172.770492","181.442106","172.9779","172.836066","172.527174","172.64754","172.743483","173.418478"
"2025-06-10T17:15:00-03:00","172.268157","172.22905","172","172.54945","195.673797","180.999766","172.258242","173.785714","172.563536","172.441071","172.81768","173.17033","172.362638","172.461111","212","199.364198","172.628416","172.401099","191.521277","173.331492","172.994506","172.536812","172.561271","172.592179","172.595629"
"2025-06-10T17:30:00-03:00","172.209944","172.181319","172.1","172.364641","183.852631","180.999992","172.237569","173.25","172.790056","172.136381","172.901099","173.274193","172.208791","172.565934","173","191.809816","172.458563","172.714286","181.513228","172.950277","173.081967","172.557779","172.574586","172.453841","172.666667"
"2025-06-10T17:45:00-03:00","172.105556","172.088398","172.016574","172.055556","178.074074","180.999999","172.178771","172.827778","172.765028","172.59292","172.464089","173.044199","172.21229","172.305556","201","189.382716","172.434066","172.401099","178.227027","173.641304","173.082418","172.426777","172.51546","172.354142","173.19337"
"2025-06-10T18:00:00-03:00","172.016574","172.394444","172.077778","172.331492","183.756613","181","172.263737","173.326087","172.607734","172.515499","172.530387","173.26776","172","172.662983","192","192.257669","172.7","172.939891","183.797872","172.505494","172.73913","172.568084","172.57795","172.418046","173.519126"
"2025-06-10T18:15:00-03:00","172.165746","172.094444","172.201118","172.287293","195.867724","181","172.314917","173.576923","172.688524","172.547981","172.226519","172.855556","172.115384","172.379121","195","217.826087","172.875","172.337017","203.08421","172.994476","172.961326","172.439602","172.417532","172.34073","172.519126"
"2025-06-10T18:30:00-03:00","172.126373","172.161111","172.176796","172.240223","190.402117","181","172.131868","173.114754","172.661202","172.439507","172.447513","173.05","172.055556","172.434066","174","215.52439","172.674033","172.418994","194.243387","173.108108","172.878453","172.33988","172.277501","172.552487","172.745857"
